,ntrials,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
19,100,167851.98191281967,1,-5,0.05,-1,0,10.746318583500592,-451.0092794883655,1.239499923152039e-05,-12.393602025947175,-11.253968560490334
20,100,0.0446656922792781,1,-5,0.05,-1,1,4.198388192244378,-38.46600839061762,4.924835653748375e-05,-32.982403787905334,27.99654911133583
21,100,0.012515381173426508,1,-5,0.05,0,-1,-2.9548685630531564,-7.517167344140218,1.0080349153137671e-05,1.9185576879254553,3.015660405931132
22,100,19.814926001947164,1,-5,0.05,0,0,3.8946312575627973,-89.7678689353842,1.3904703492200799e-05,-78.66559048421581,38.61467721157696
23,100,0.03970394983123878,1,-5,0.05,0,1,2.0207152821145185,-18.651788739186955,2.1460077803444437e-05,-13.55282063537004,-13.732185265923906
24,100,0.0359621539383902,1,-5,0.05,1,-1,0.538459354312325,-16.795794303851665,9.4264863426845e-06,2.899742997092312,-14.861020596555335
25,100,0.017446731182938158,1,-5,0.05,1,0,-1.8846608013550468,-8.052959912113051,9.589925163986913e-06,1.7256899041415383,2.797571953626467
26,100,0.0220099407570745,1,-5,0.05,1,1,564.2134842707363,-598.6159223938724,1.2501443478710973e-05,-48.459446766495276,-7.2691522902229035
27,100,0.06228939423533426,1,-5,0.1,-1,-1,1.8373090350625796,-13.322414830631796,6.674410793641256e-06,2.431131612064753,-8.520633992531852
28,100,1.3743470342433688,1,-5,0.1,-1,0,1.4918644782206292,-17.853361093924605,1.6148083765565436e-05,-13.1644050286473,-13.896874606376356
29,100,0.24479501977427398,1,-5,0.1,-1,1,1.3156879292894592,-7.4788928557984145,1.3186454378694482e-05,-3.540393247178334,-2.7773525648279076
30,100,0.04204543351704232,1,-5,0.1,0,-1,6.5859151919527585,-29.61311307886228,1.3439663860112232e-05,-20.809618857448623,-21.36008888647236
31,100,0.15741282679869006,1,-5,0.1,0,0,-0.40615675595449513,-18.090436409896753,1.4832874802611074e-05,-14.31126578359825,-14.991626170626345
32,100,54.1252429503014,1,-5,0.1,0,1,188.79725293613555,-168.41575832385632,1.4183643740194264e-05,17.572584143688644,42.75237147924338
33,100,1081.541370865613,1,-5,0.1,1,-1,-3.681834191584778,-51.805942801752515,0.037382121836595034,-7.183896961864266,-5.230584732466775
34,100,542.6690693190321,1,-5,0.1,1,0,32.897209315022,-152.02247857343386,6.739559927537221e-06,89.08131514030669,-91.7503888355239
35,100,0.08595813788859528,1,-5,0.1,1,1,-3.2294464298467576,-6.3111221016420345,1.676964498459357e-05,2.117979153567242,3.0737728331267324
