,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,C_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
31,10000,200,10,0,0.05,0,0,0,0,0,0,11.695003433764304,-0.8609216462760831,0.7249109333911903,-0.06371571981018387,-0.7051749580378399,-0.731595542458396,1.5833716824133797,-0.10727507497996035,0.224642518652684,0.03669662117205214
32,50000,200,10,0,0.05,0,0,0,0,0,0,10.550117989638792,-0.54560399244008,0.6327768205260186,0.09578979953058517,-0.3807494584141014,-0.38091806755277735,1.4807330344009704,-0.2858385000412365,0.10352810387916728,-0.06870684389221932
33,500,200,10,0,0.05,0,0,0,0,0,0,9.073564204648314,-0.42485767284787884,0.06791664349460597,-0.09539294896134022,0.7000545262795161,0.8012676346561269,1.0530820685331967,-2.46757182264388,-0.1120944612200516,0.6959563756131428
34,10000,200,10,0,0.05,0,0,0,0,0,0,10.534253211360708,1.3511870959525678,0.49376264433092815,-0.08426168257750981,-0.09444048379558302,0.3878693015717296,1.2389912356674568,-0.28610217432318213,0.0372458794715193,-0.1677517660875689
35,50000,200,10,0,0.05,0,0,0,0,0,0,10.84412811487714,0.2282090395164777,0.5971428947189977,0.09530190319736441,-0.4190449235145668,0.15550302370774557,1.576053792386503,-0.23157782807812505,-0.09390801871413959,-0.08188793687254536
36,500,200,10,0,0.05,0,0,0,0,0,0,12.18195057746623,2.337765355261967,0.0009395594209854206,5.103499568708248,0.16285219253855027,0.2386973272874944,1.777550230932444,-1.6765841902209608,-0.043756551734207824,0.9808677794391467
37,10000,200,10,0,0.05,0,0,0,0,0,0,10.840121588379235,-0.6395884687104235,0.5787938575189753,0.07929853526114505,-0.8259130645802476,-0.5575982542464619,3.5994185027160355,-0.6772347683966197,0.0033977377419722814,-0.2898510714275031
38,50000,200,10,0,0.05,0,0,0,0,0,0,11.458125927627028,-0.012791807742123202,0.5939812062258557,0.09439683670451042,-0.3803039512159343,0.026578869730405935,1.2055720929496987,-0.18567308237905472,0.024058987049398406,-0.005588251816510151
39,500,200,10,0,0.05,0,0,0,0,0,0,21.59391323366017,-3.1060874372485507,0.008805984244816937,2.513187234332096,-1.5489570014688385,0.7212405866147711,0.7625265833436086,1.0394084839636777,0.017272429950832585,0.18626050819714296
40,10000,200,10,0,0.05,0,0,0,0,0,0,11.094767394339176,0.05418688933106928,0.6372323780522827,0.10462486523595169,-0.25972145877540265,0.21711780078312143,1.6151924686716617,-0.32996255190184026,-0.10446726080214583,-0.1290190135497554
41,50000,200,10,0,0.05,0,0,0,0,0,0,10.870025403795484,0.018286141660749582,0.514175887213459,-0.1104085242000029,-0.38051664319810785,0.021193505836168417,1.5589802118404834,-0.22479536794198376,-0.010966202954516963,-0.12308859502861122
42,500,200,10,0,0.05,0,0,0,0,0,0,13.118435876425679,1.2841911960235177,0.007972971793099649,0.12452714540654475,0.4141035269795551,-0.11113859607912842,-1.6536200956120213,1.6499551033379656,-0.9680571918645603,-0.9637898519162458
43,10000,200,10,0,0.05,0,0,0,0,0,0,11.957600937732812,0.6838479446144895,0.45276325652633537,0.09435997626722835,-0.23805744289633293,0.2878413945718158,1.1756263528105522,-0.4972088612915708,0.12378417005725911,0.18531486159374344
44,50000,200,10,0,0.05,0,0,0,0,0,0,11.307288297249421,0.19009459982433513,0.6483293330146404,-0.09880234796076193,-0.4423567912901773,0.18243265203314965,1.4807152299236714,-0.2354546401369075,0.009620306619655279,-0.01588070173912633
45,500,200,10,0,0.05,0,0,0,0,0,0,9.029738152366189,-0.17966355080777727,0.019190228172512907,-0.12693768966062233,0.22281820814007494,0.8468561388300424,2.551627257181921,-0.8042707693370498,0.13194777357063925,-0.8091012279094804
46,10000,200,10,0,0.05,0,0,0,0,0,0,11.01147394195586,-0.225390748080701,0.4107111353989887,0.08807301579672798,-0.2166376296340124,-0.07607935247695828,2.3638241574945833,-0.8828411636110021,0.06767990109761898,-0.06362484972429636
