,0
352,1.3123005423504224
353,1.2936164321536208
354,1.2870653718956586
355,1.2805142522668485
356,1.2737903041104233
357,1.2678835623656863
358,1.2656560531816374
359,1.2634293918071844
360,1.2612027304326974
361,1.2589760690581187
362,1.2567489505370124
363,1.2545122742999013
364,1.252209813020226
365,1.2499073517405368
366,1.2476021096006285
367,1.24529678102031
368,1.2441185610900645
369,1.2383289719765587
370,1.233011299602314
371,1.2277766999924085
372,1.2225420021812006
373,1.217307304330012
374,1.2120728676804418
375,1.207326173156037
376,1.2016588919737445
377,1.1960319261410082
378,1.1904122242029058
379,1.1849590106760353
380,1.1739126879087387
381,1.1628663651414464
382,1.1518182232608456
383,1.1407700813788813
384,1.113509871567706
385,1.0862045104575329
386,1.0603553325856585
387,1.03481565524834
388,1.0084484661863173
389,0.9820812771273568
390,0.9535021629824889
391,0.9249230679140578
392,0.8963439728455799
393,0.8676636677458113
394,0.8389781474034773
395,0.8317715552045439
396,0.8245648918305855
397,0.834423792048842
398,0.844282692221051
399,0.8541415931784279
400,0.8640004936542094
401,0.873860277547771
402,0.8837200614220521
403,0.8935798345191135
404,0.9034396076307017
405,0.9124685040151882
406,0.9214974003996741
407,0.9305263418346373
408,0.9395436367338575
409,0.9485609316288942
410,0.9575782265239089
411,0.9665955774996611
412,0.9756158595904143
413,0.9846728759300345
414,0.9937699309309058
415,1.0032447517050753
416,1.012719572466139
417,1.0221909651491647
418,1.031662157182421
419,1.04113334897001
420,1.0506045407556603
421,1.0612450164067364
422,1.0665505346873818
423,1.0718560529680223
424,1.0771615714713003
425,1.0824670899321753
426,1.0878626632473074
427,1.0821040780329916
428,1.0767530352797123
429,1.071401990381754
430,1.06621939710477
431,1.0610625379451564
432,1.0558978374173622
433,1.052170695106466
434,1.0484435528838916
435,1.0447163352848576
436,1.0409891176874164
437,1.037261901404919
438,1.033534685122416
439,1.0313464478637808
440,1.0291582106051445
441,1.0269699733465116
442,1.0247817293745218
443,1.0148431630345012
444,1.0049045966944778
445,0.994962147380232
446,0.9850197083646661
447,0.9750772681387507
448,0.9651348237977283
449,0.955192374641693
450,0.9452770989748741
451,0.9353618233208814
452,0.9254625872095029
453,0.9156283521027391
454,0.9058503373224785
455,0.8960723947338806
456,0.9009922271048709
457,0.9059120594758038
458,0.9113749395998113
459,0.9166962676668217
460,0.9274995899438322
461,0.9383088121123601
462,0.9491180906159572
463,0.9599238370535831
464,0.9707295834912156
465,0.9820874733199251
466,0.9934453631486329
467,1.006011722058039
468,1.0185911769620164
469,1.0311688077876464
470,1.0448964195144332
471,1.0590397445430417
472,1.0731391154921013
473,1.0872389605008492
474,1.1013773981304433
475,1.1151432311173926
476,1.128894608798848
477,1.1426459864096004
478,1.1563973634019074
479,1.1701486858913168
480,1.1837921913626903
481,1.1994063548253266
482,1.2170748370663826
483,1.2347433193237494
484,1.2524118073908068
485,1.2700802428278066
486,1.2877480329679811
487,1.3022653170260687
488,1.3133664839292922
489,1.3244666037258628
490,1.32008012065893
491,1.3156665994198569
492,1.3112530781807827
493,1.3068402190201047
494,1.3024282555152922
495,1.2976050666653742
496,1.2927818355344391
497,1.2879571445756601
498,1.2831310134603544
499,1.2783036097635045
500,1.273476206160308
501,1.2685722527824852
502,1.2632216832380114
503,1.2578711139377603
504,1.2525205614595112
505,1.2471700074753973
506,1.241819453491276
507,1.2364685927696066
508,1.2311177320042943
509,1.2257668746640649
510,1.2204232723051036
511,1.2150796699461337
512,1.208803652104683
513,1.2013183976727104
514,1.193833156082732
515,1.1863479144946187
516,1.178681219988564
517,1.1710138312909217
518,1.1633464425835347
519,1.1578383270620884
520,1.15233019220935
521,1.1459250999727542
522,1.139519987043438
523,1.1234801809812616
524,1.1074403749190838
525,1.0914005556445012
526,1.0734524029099102
527,1.0555042491191995
528,1.0373638461886596
529,1.0391696570614346
530,1.0428169006286616
531,1.0518185474839727
532,1.0608202159494993
533,1.0698230336872794
534,1.0788258514248754
535,1.0878286620301472
536,1.1074915953081585
537,1.1271545416460553
538,1.146834872444173
539,1.1665152032427852
540,1.1861955385748058
541,1.2058766955286337
542,1.2316948378304222
543,1.2575130032239932
544,1.2833311683649773
545,1.3091493335059994
546,1.3349674970739858
547,1.3631609857710045
548,1.3911705673566415
549,1.4004818378880621
550,1.4097907007928514
551,1.4190995637043977
552,1.4284084266153052
553,1.4366499769917973
554,1.4448903231885315
555,1.4531326019714568
556,1.465903123819261
557,1.4785606933245283
558,1.4912182635358249
559,1.503875833746585
560,1.5165079540610837
561,1.5288789741146693
562,1.5483662002180607
563,1.5659618580585273
564,1.5835575161104118
565,1.6011531709067925
566,1.6187157120548261
567,1.6362782532013183
568,1.6538407925656258
569,1.6765907686192438
570,1.700023561509172
571,1.705113205893675
572,1.7102028736870525
573,1.7150966557937954
574,1.7199904381281115
575,1.7274056879240138
576,1.7348209609651992
577,1.742236234000962
578,1.7496489059281826
579,1.757061577855272
580,1.7644742448971402
581,1.7718841162857615
582,1.779297189968621
583,1.7867102636698342
584,1.7941301230300746
585,1.801549980152298
586,1.808969837255146
587,1.8163865537029176
588,1.8079661279441785
589,1.7995457499759089
590,1.7911251583885062
591,1.7827045658261613
592,1.7743422795869113
593,1.765979993179083
594,1.7576177067705323
595,1.7498683276478844
596,1.7420544249232783
597,1.7342466850401708
598,1.726438942638021
599,1.7186293847159937
600,1.7108235779226808
601,1.703048012256858
602,1.6952724466006388
603,1.6790158318791866
604,1.6579356653093371
605,1.6369043266707104
606,1.6332316858526972
607,1.629559045029451
608,1.6258864042115293
609,1.6222600712083688
610,1.6186337609618215
