,ntrials,n_iters,sens_sim,bias_sim,sigma_sim,AR_sim,prevresp_sim,prevconf_sim,prevrespconf_sim,prevsignevi_sim,prevabsevi_sim,prevsignabsevi_sim,sens_fit,bias_fit,sigma_fit,AR_fit,prevresp_fit,prevconf_fit,prevrespconf_fit,prevsignevi_fit,prevabsevi_fit,prevsignabsevi_fit
20,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,11.663252920338909,0,0.17858770978410987,0.9867982345216514,0.16248181756624816,-0.010696856183860796,0.13019183939221393,-0.10239908446941981,-0.06627319747204727,-0.1941557687968328
21,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.5934130890337,0,0.006862024200587931,0.6295192286537129,0.7013892881850435,-0.044266721589412375,0.6055416209598817,-0.6608437006712622,0.025294710274620755,-0.2736837133795826
22,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.385937942375408,0,0.08677980704227603,0.9865454748789702,-0.18700073770990502,-0.11529388226996344,0.25078101908105555,0.12963909460658343,0.03876376342633843,0.0017655875258893155
23,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,7.456630630850169,0,0.44069339209222574,0.5658216803288498,0.5236463411312893,0.04013388171088979,0.5252588470553874,-0.510264850504579,-0.027762080513345857,-0.21261422745558953
24,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.153105318345359,0,0.06593450881458632,0.9917442210942519,-0.04426893824842266,0.006601785668186865,0.1256145972656667,0.003237176412955176,-0.06744586894456488,-0.04956919424621142
25,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.756385100856273,0,0.07189064340321225,0.9907976568098796,0.03706784348006986,0.0740234466845433,0.20018274432153052,-0.11842171800143292,0.05272627500214624,-0.03046357553939594
26,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.67975134154615,0,0.07748098124907511,0.9919764744284018,0.014339563515182634,0.11569685508979974,0.2933243637687822,0.053646471179450886,-0.03929717844060755,-0.09983614665283151
27,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.761870089972268,0,0.027373924742633046,0.5327430839235732,0.6489163841460681,0.003635140559255074,0.6209354250809702,-0.555853445236666,-0.01783169515399975,-0.3215002086989114
28,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.193675534999163,0,0.002472705179660506,0.45435984275283753,0.6353448463023755,0.11968325984846966,0.6250159990539785,-0.6489411855880409,-0.01878400431963619,-0.23541344859318478
29,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.692097029589046,0,0.004301990369683755,0.08058464487629975,0.6358831909280068,-0.0549509106965859,0.6566083488982145,-0.606773002354786,0.03311204430518484,-0.2900339506634386
30,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.641795579177309,0,0.0974924045948735,0.9893041081425432,-0.007670397314818269,-0.06142507373618791,0.283952936022323,-0.23585794094313314,-0.020216641769987286,0.05608192556600754
31,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.844572158365915,0,0.15876469546054447,0.9852161963670885,-0.13169939131893746,-0.01921042802851304,0.16400166658837043,0.04681913320894154,-0.0056602124938467495,0.03001800336479891
32,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.96161877257384,0,0.07746220017764753,0.9891576682676033,-0.1394391605904747,0.08440819365166852,0.4086377697670776,-0.03172101847127379,0.11682840326636362,-0.06467801074297151
33,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,8.779938207276048,0,1.2211148247289165,0.7040368307130683,0.30156323094753024,-0.03948188841055227,0.7837035704837509,-0.47606841798951954,0.007618468996255532,-0.2266341067439594
34,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,10.204924725421453,0,0.12872661311937203,0.983966456698675,-0.09458783107170741,-0.11229356265437292,0.3210194553046931,0.03498427231381755,-0.0796619016793116,-0.10263178694244988
35,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,11.089015723510089,0,0.1557141314990005,0.98627726332151,-0.23709278482726534,-0.05043918466981974,0.2734476822848116,0.015475649198487625,-0.030674508010014236,0.062235127207797176
36,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,9.691114710205607,0,0.10394180169113841,0.9859266072680943,-0.29481330700377845,-0.027782335512918293,0.39026991556398544,0.054107350382886735,0.03780126837130356,-0.05385654673949815
37,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.8225664559239085,0,0.08130941420788294,0.2718446534236256,0.6212027442311715,-0.006846210720776267,0.6491461715676979,-0.5806897650034605,-0.014689835380663364,-0.29559408148954824
38,10000,1000,10,0,0.3,0.99,0,0,0,0,0,0,6.284983053043588,0,0.009865741720836194,0.5641796952388392,0.6625546454191004,-0.026186220846013075,0.7213088419318124,-0.6661647738984312,0.05601994411906649,-0.32843015648110774
39,50000,1000,10,0,0.3,0.99,0,0,0,0,0,0,20.28802022370788,0,2.233506960869268,0.9575253626588212,-0.8035847404869033,-0.1592387086607825,0.6493322365392332,0.19767395081795183,-0.014666668244545784,0.12337622340602852
