,slowdrift0
869,0.11516205397459912
870,0.11662891453450308
871,0.11840867226311327
872,0.12018683423052538
873,0.12189920083579406
874,0.1253594746564787
875,0.12897882328034502
876,0.13256954168315144
877,0.13848210996573557
878,0.14167806463207885
879,0.14485099086787118
880,0.15080745541478677
881,0.15597819011525227
882,0.16477211913826853
883,0.17175735023265734
884,0.17764711129337132
885,0.1830731668391207
886,0.18862796859908756
887,0.19101988374415355
888,0.19508792015186996
889,0.19937308882927113
890,0.2012890481124343
891,0.2050104195625165
892,0.20944345267461045
893,0.2138756219951279
894,0.21585141810170075
895,0.2167203808948209
896,0.21695975815597976
897,0.2141045770801841
898,0.20859409039898588
899,0.2030642418643864
900,0.204435761681704
901,0.20695249181544612
902,0.2085111354086447
903,0.20715510943580787
904,0.2034296151088133
905,0.19657078463892888
906,0.19074349706389535
907,0.18216507975538393
908,0.1735952304089132
909,0.16505189733389303
910,0.15328151148633548
911,0.14149070438345923
912,0.12965509588648608
913,0.11993434736142698
914,0.11170560836223149
915,0.10317201635084625
916,0.09880447536075664
917,0.09319146365860967
918,0.08776695862903232
919,0.08234682210499747
920,0.0750752644028313
921,0.06784671770224257
922,0.06046645114591554
923,0.0530984762375619
924,0.04290821738569507
925,0.02870522274514014
926,0.01499840552257239
927,0.0038708441273089525
928,-0.00725678562927493
929,-0.017634810218454786
930,-0.030140606216877464
931,-0.04263508876431584
932,-0.052489267628908466
933,-0.06123007552567305
934,-0.06635095741073889
935,-0.07182470707570404
936,-0.07726368688095392
937,-0.08337066102482292
938,-0.09119685506845802
939,-0.09899013001899341
940,-0.10824743367144854
941,-0.11742195354272777
942,-0.12879416417554634
943,-0.13936806616796563
944,-0.14994172993446192
945,-0.16227268884592497
946,-0.1705138139916406
947,-0.18001489856252953
948,-0.1899370980616698
949,-0.19987318372266227
950,-0.2084326792062552
951,-0.21521781824463984
952,-0.22201163781427996
953,-0.2280866866211435
954,-0.23629866390549203
955,-0.24447577419250027
956,-0.25354574697778853
957,-0.26264491734912304
958,-0.27068236209469265
959,-0.2787198617520771
960,-0.28413136934064886
961,-0.2877753300285244
962,-0.2897578344824636
963,-0.2907224485108264
964,-0.29148619786811836
965,-0.29058949433762743
966,-0.288571169514845
967,-0.2886739272102686
968,-0.2890869423306928
969,-0.2907998166031241
970,-0.2925258514724572
971,-0.29445549733734994
972,-0.29695366155578873
973,-0.29591759517409233
974,-0.2954282562126121
975,-0.2949245425532285
976,-0.29223052758728174
977,-0.293663918797161
978,-0.2938354469965251
979,-0.29385820778296234
980,-0.2916283996812619
981,-0.28937606789529485
982,-0.28710810664512376
983,-0.28622067640494003
984,-0.2871644656152418
985,-0.2866265731796697
986,-0.2860825464864528
987,-0.28553861536591996
988,-0.2836467290502388
989,-0.2817642201154986
990,-0.2813200567636203
991,-0.2823752019098988
992,-0.2822998322770902
993,-0.2800463759217378
994,-0.2770270738995171
995,-0.2740081194805601
996,-0.27098940202258665
