,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
41,5000,1000,0.132396084970904,10,-5,0.05,1,-1,9.944114751675116,-4.806689009414691,0.08986169110677673,1.00440012243822,-0.8406268300429572
42,500,200,0.041032031164008144,10,-5,0.05,1,-1,10.009025967885492,-5.00670741198658,0.04043011302523137,1.170270750577366,-1.3390030772373938
43,5000,200,0.09608351381691359,10,-5,0.05,1,-1,10.801690407600287,-5.4523128013257445,0.49832665727299685,1.1389283162077894,-1.218142522864446
44,500,500,0.03297445672965436,10,-5,0.05,1,-1,10.173607947722624,-4.998077183130913,0.00012761488329403106,1.181819355162275,-1.3550511432970198
45,5000,500,0.08834399727710865,10,-5,0.05,1,-1,10.716529725282804,-5.291611597028721,0.32660547394828254,1.1294745563758464,-1.1577772470282202
46,500,1000,0.032530790866055294,10,-5,0.05,1,-1,9.950761508167275,-4.959731994442349,1.2574952492174814e-05,1.167355975960575,-1.3303239507171885
47,5000,1000,0.07791479465716157,10,-5,0.05,1,-1,10.299053475320425,-5.139066677582404,0.05637083879833143,1.0897471432665835,-1.0998011120150382
48,500,200,0.32965223639471786,10,-5,0.05,1,-1,9.647538441533795,-5.382783355406143,0.0040358337362298375,1.1072859026435184,-1.163765907805646
49,5000,200,0.10492396355150267,10,-5,0.05,1,-1,9.845819491027342,-4.792778167034646,0.4543903370793904,0.9638008953524742,-0.914251562421689
50,500,500,0.23130514794580814,10,-5,0.05,1,-1,9.698077227669824,-4.506978799669309,1.1802741346204837e-05,1.1430191071931788,-1.1511821616797862
51,5000,500,0.12178480276831524,10,-5,0.05,1,-1,9.8345068807486,-4.762392266232654,0.234333437596828,0.9632683444104905,-0.9053724008082894
52,500,1000,0.17906557432110184,10,-5,0.05,1,-1,9.666524893320434,-5.51926311037755,8.186658762525027e-06,1.1390327938184848,-1.1552965147662766
53,5000,1000,0.15453121036378517,10,-5,0.05,1,-1,9.814912347028555,-4.678165813495782,0.0877107697180592,0.9604316139939609,-0.9005799776336832
54,500,200,0.03935487127602712,10,-5,0.05,1,-1,10.313389700107999,-5.2202535372906045,0.01635372735723173,1.1498681064609009,-1.2427329670972742
55,5000,200,0.13165283235205574,10,-5,0.05,1,-1,11.115717843463297,-5.841827486981953,0.4146239665564178,1.1490966270926706,-1.2032449511681043
56,500,500,0.026772112900876943,10,-5,0.05,1,-1,10.332507020802492,-5.179114571670267,0.0001448767307438136,1.1421550852017253,-1.245920290445148
57,5000,500,0.06721792297097207,10,-5,0.05,1,-1,10.436149067475009,-5.2494882895832085,0.05893977394874716,1.0856530185384035,-1.1176857793926351
58,500,1000,0.02568701951680401,10,-5,0.05,1,-1,10.360665148349364,-5.256296961021073,1.5171331912944438e-05,1.1553865360736686,-1.24348960532741
59,5000,1000,0.07718367465792006,10,-5,0.05,1,-1,9.95651381852176,-4.921048612149633,0.016196062156928714,1.0391608844632043,-1.04908956793453
60,500,200,0.3614685456379447,10,-5,0.05,1,-1,11.063256492546866,-5.1727302507531885,0.002665415282401542,1.2349565161943095,-0.7490166717635075
61,5000,200,0.07950713589724864,10,-5,0.05,1,-1,10.403129619169455,-5.102500142000858,0.519200753270595,0.9063454443404065,-1.0745991143338114
62,500,500,0.052979982711777174,10,-5,0.05,1,-1,11.033721476098616,-5.431111157271425,1.912314084612824e-05,1.2376140186484752,-0.6968822314752809
63,5000,500,0.0775875472527135,10,-5,0.05,1,-1,10.335495261059133,-5.098557466243231,0.3367999182563479,0.9008283579703498,-1.0481474823890662
