,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit,C_fit
28,500,200,0.2858484129331201,10,-5,0.1,1,-1,11.041880471497352,-6.075671178411148,0.014856591994942823,1.161891255685944,-1.3330346943825324,-0.24700752436061635
29,500,500,0.2754142121998359,10,-5,0.1,1,-1,11.18476157285861,-6.08167794718301,0.00013142134970756567,1.1691268717652878,-1.3796045869741662,-2.2202481852325207
30,500,100,1.3619705437809957,10,-5,0.1,1,-1,12.202319418350179,-4.934938906633761,0.10355708606464599,1.1506637990890238,-1.0749414874497758,0.4710448651106767
31,500,200,1.8667187046087308,10,-5,0.1,1,-1,11.846151079577327,-4.87775244747376,0.003520448903954897,1.1245266368982492,-0.9288532531863927,1.4441153862946456
32,500,500,0.9227096013536872,10,-5,0.1,1,-1,12.163991959625523,-5.0726728377987005,2.8305880391796846e-05,1.154912274013822,-1.0487425759440943,15.578652210715077
33,500,100,4.229267665205219,10,-5,0.1,1,-1,10.595021128989023,-3.5371536681730698,0.06882033672119033,1.1758846445080136,-1.153689378901543,-0.7413877344180964
34,500,200,7.80320495048185,10,-5,0.1,1,-1,10.00887038446853,-2.2539464666584954,0.011115474885139148,1.1268527989694632,-1.1412160192004541,-1.0017134229959468
35,500,500,13.630002707392949,10,-5,0.1,1,-1,9.838987011811568,-1.3577533178130583,5.822728191358658e-05,1.1315927773532015,-0.9474077378704583,-9.332880852597903
36,500,100,0.5887675824110793,10,-5,0.1,1,-1,10.269125483277248,-5.7574387583488535,0.05831586429112639,0.7903042747098419,-1.1691441910320999,1.4987663973170249
37,500,200,0.6086135498206987,10,-5,0.1,1,-1,10.404086163542068,-5.848746384201722,0.005568320848327654,0.7551063878330528,-1.002154777955394,4.8857663828322035
38,500,500,8.053825680751846,10,-5,0.1,1,-1,9.27468756289483,-2.064212358578872,2.7946072007117875e-05,0.7019705842411742,-0.7090383989809446,19.20712335784779
39,500,100,19.78641039253077,10,-5,0.1,1,-1,12.212052801141489,-1.871669388847844,0.019046484557659494,1.0230926928589505,-0.9791870132287097,-1.2357418875165433
40,500,200,18.39512243275358,10,-5,0.1,1,-1,12.009621350287446,-1.8162913696885314,0.002327411090284722,0.9691328415694677,-0.8901536829908498,-2.0436797611382764
41,500,500,115.060313556171,10,-5,0.1,1,-1,11.828112015476531,4.618179021039677,1.5383501427516436e-05,1.0786365074970816,-0.6371613391624299,-26.69149827782659
42,500,100,0.18071742007973998,10,-5,0.1,1,-1,11.816272849323477,-6.244604287337944,0.20733982264962822,0.8947011508863247,-0.9746684303248065,-0.14505997515462804
43,500,200,0.22302061152168956,10,-5,0.1,1,-1,11.08664364074467,-5.448083453728853,0.036384368407138504,0.8375819713900803,-0.854120000824462,-0.4252595823586578
44,500,500,0.34755142788583065,10,-5,0.1,1,-1,11.536648548903788,-5.512196664718635,7.535524798273425e-05,0.8741919420829821,-0.9206834281435163,-10.574621815272108
45,500,100,2.875128454122572,10,-5,0.1,1,-1,11.435257731938872,-7.6632552524739825,0.26770491249228323,0.8234385165456747,-1.5088550212481866,0.34323889875879465
46,500,200,4.20657165515509,10,-5,0.1,1,-1,10.9693107593488,-7.742117577928927,0.06262951983574222,0.7467455582929924,-1.4492945547165512,0.6754141513381228
47,500,500,8.283692991546959,10,-5,0.1,1,-1,11.009025161678878,-8.958966694881276,0.0006514388429706904,0.7233220771521117,-1.4476604015484342,5.659625147603419
48,500,100,0.0874986368700682,10,-5,0.1,1,-1,13.00685871319976,-6.329656306256103,0.11034504293769702,1.2011495791593163,-0.7644416900513531,-0.4087170409847968
49,500,200,0.13110471613001318,10,-5,0.1,1,-1,12.769187916404087,-6.0758986047913375,0.011547016427989635,1.1736418230379997,-0.7980222699242786,-1.506725621603403
50,500,500,0.4014396969649167,10,-5,0.1,1,-1,11.959571878728902,-6.292007263955799,1.985975233655284e-05,1.0993719314780357,-0.4932461854987615,-18.417427600385803
51,500,100,0.380697759679734,10,-5,0.1,1,-1,9.59611454837254,-4.964589015809771,0.17698992735948296,0.737863607916694,-0.8053189696166183,0.27631669907045303
52,500,200,0.2844974574156637,10,-5,0.1,1,-1,9.598959963091785,-4.251077442672866,0.029954293951030133,0.711747248348487,-0.732522080260099,0.5941673485386473
53,500,500,0.7165195781283441,10,-5,0.1,1,-1,9.303623547789597,-5.0152425361177,9.161484605850854e-05,0.6856818781374368,-0.5874086891498582,6.826290874626361
54,500,100,2.008225905012984,10,-5,0.1,1,-1,9.987816687143699,-3.5339777674082455,0.09357768202233892,0.9988739620485029,-0.7589762601610637,-0.23476032843040523
55,500,200,2.547331682229609,10,-5,0.1,1,-1,9.57282342639005,-3.317456739863777,0.02978166125334317,0.9419121494600086,-0.8156626907955361,-0.5753776362778155
56,500,500,3.1009547495568586,10,-5,0.1,1,-1,8.996173350630453,-2.7137162372612806,0.00011826851446522749,0.9003047918188913,-0.6839451527775863,-6.657337155954821
57,500,100,0.10675047491894647,10,-5,0.1,1,-1,9.956297021939049,-4.848763935120753,0.18160270590620603,0.9523431741230038,-1.160247037800183,0.2811934919014111
58,500,200,0.11130921399750783,10,-5,0.1,1,-1,9.769594149456424,-4.934254022578299,0.03517389012336722,0.9381218972516121,-1.129224687625458,0.6655243512405644
