,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit
17,5000,1000,0.160574609255927,10,-5,0.05,1,-1,9.932292181849817,-4.805681271906627,0.024851800909658252,1.0588995623167063,-1.0400548631482074
18,500,200,4.986950307629632,10,-5,0.05,1,-1,10.808587713827599,-7.782068773760528,0.03154646173138996,1.262855940342769,-1.5726697884105434
19,5000,200,0.11401841779855615,10,-5,0.05,1,-1,10.153736091883005,-5.299263670617987,0.43338696406167104,1.0708637601916307,-1.0303100218144952
20,500,500,11.343044966161504,10,-5,0.05,1,-1,11.09066207990775,-9.091635940677753,6.430558719118318e-05,1.285907996621379,-1.6474011535320265
21,5000,500,0.12866122010836267,10,-5,0.05,1,-1,10.12365292412679,-5.313498484831185,0.2820283848802532,1.0778651315175893,-1.0028318928571807
22,500,1000,19.632413258473225,10,-5,0.05,1,-1,10.947200481499273,-9.907744123144749,1.2839103303699498e-05,1.246720379708647,-1.5836383219776258
23,5000,1000,0.18942906146976174,10,-5,0.05,1,-1,10.047513138369846,-5.387356174557996,0.13340182852723056,1.069250568044275,-0.9823880275501937
24,500,200,0.03732937077485505,10,-5,0.05,1,-1,9.514522590058098,-5.100079709937365,0.009246754413108065,0.8479523650134059,-0.48002900976858986
25,5000,200,0.14665323891791252,10,-5,0.05,1,-1,10.107795069165137,-5.4181463313059925,0.27144842479995646,1.009837802778877,-0.9711835920978964
26,500,500,0.037608924263042014,10,-5,0.05,1,-1,9.593114021195774,-5.122556233136785,6.74842067984032e-05,0.8531058207457002,-0.4822036845576219
27,5000,500,0.142540780344702,10,-5,0.05,1,-1,9.921874412446448,-5.297613303738881,0.16389578382040995,0.9906492444554968,-0.8579312562437198
28,500,1000,0.03748890312987619,10,-5,0.05,1,-1,9.515463759422627,-5.050149606153474,1.0659666920785469e-05,0.8470482027806034,-0.47825835097694175
29,5000,1000,0.3960904149208575,10,-5,0.05,1,-1,9.277097033847834,-5.283974935549582,0.04030694315813249,0.9354452244849596,-0.7760067072013848
30,500,200,0.05409516510500202,10,-5,0.05,1,-1,9.81209815981849,-4.811479672654238,0.013770109554028244,0.9001356340459514,-0.4934273540420254
31,5000,200,0.13620065950531313,10,-5,0.05,1,-1,11.39941678980893,-5.879336076172314,0.3110638077676136,1.1305213739671216,-1.3965345202392785
32,500,500,0.10034021621290248,10,-5,0.05,1,-1,9.8020484587251,-5.154745106555316,2.2486729853868814e-05,0.956435537023137,-0.4437729512341508
33,5000,500,0.19497168499310447,10,-5,0.05,1,-1,11.17098036520912,-5.929542600811588,0.14972174519358916,1.10996032740651,-1.3177644665387287
