,ntrials,n_iters,mse,sens_sim,bias_sim,sigma_sim,pc_sim,pe_sim,sens_fit,bias_fit,sigma_fit,pc_fit,pe_fit,C_fit
18,15000,100,0.23818869856526298,10,-5,0.1,1,-1,11.414136989848197,-5.719077796300677,0.2990135716845342,1.0966464402226916,-1.270968322868251,-0.2919436162141689
19,25000,100,0.2267315606482678,10,-5,0.1,1,-1,11.119083338268759,-5.608267111972875,0.350322201860201,1.0683050500563638,-1.1714720607445543,0.2572364004973318
20,500,100,0.17095569645137065,10,-5,0.1,1,-1,9.831909490867476,-4.898035181117608,0.1490019295708263,1.0392809617746774,-0.7461953327261993,-0.3228697955026026
21,5000,100,0.3114114890369064,10,-5,0.1,1,-1,11.055823549095914,-5.610837497703182,0.2523005019098528,1.033190992214016,-1.2805491165791176,0.32544747965043413
22,15000,100,0.6948998395979641,10,-5,0.1,1,-1,9.978396324688354,-4.396784186237307,0.12084832041022359,0.9292287125134292,-1.0974636675557052,-0.663693433661582
23,25000,100,0.26289499135557765,10,-5,0.1,1,-1,9.995746673456322,-4.806214007235257,0.16472134880673642,1.018915542875121,-0.9254500518757085,-0.4528314295294542
24,500,100,1.2436159153036006,10,-5,0.1,1,-1,10.14272759080752,-3.941301037657408,0.04739617692296114,1.0377119107084438,-0.9479916095535427,-0.42483832533692023
25,5000,100,0.1761735085903422,10,-5,0.1,1,-1,10.588857273313414,-5.281713781732338,0.6401483828773303,1.0518731941846224,-0.8907823718777417,-0.14183922604396249
26,15000,100,0.28457387044613613,10,-5,0.1,1,-1,10.902097860876083,-5.539329538441062,0.2778590592828565,1.0308694469013198,-1.3525972548604865,0.3405220168399229
27,25000,100,0.2286480043191248,10,-5,0.1,1,-1,11.108275346829645,-5.521718322888487,0.3281625360117935,1.1218549631606443,-1.130580378092488,0.2795422607354987
28,500,100,0.14664031025876081,10,-5,0.1,1,-1,10.067914335008794,-5.024451088280083,0.23971209718586167,1.1131192636484846,-1.104888648481699,0.05603492268830267
29,5000,100,0.25126824887440286,10,-5,0.1,1,-1,10.351719576556455,-5.341245901149948,0.19412235102307393,1.1010913939549807,-1.265820791078559,0.33349925573885764
30,15000,100,0.24247004253139468,10,-5,0.1,1,-1,10.26799755911342,-5.173007263991369,0.2346908576537959,0.9715381200031602,-1.0610632342880024,0.4103075161682273
31,25000,100,0.27574991386890474,10,-5,0.1,1,-1,9.9356109203168,-5.03522899088227,0.1812193548481008,0.9590020984366345,-1.0500575299751294,0.4910654293288215
32,500,100,3.1116748812197543,10,-5,0.1,1,-1,9.65113234391524,-6.397667537290896,0.039227455983423754,1.236863894980579,-1.3318561368815502,-0.4473375304964103
33,5000,100,0.400200944985542,10,-5,0.1,1,-1,11.320775636674307,-5.693046794708549,0.23630319632135371,1.0029647571514972,-1.4286725691957833,0.3165395338378295
34,15000,100,0.27605550943650037,10,-5,0.1,1,-1,10.255937097516927,-4.988189475125694,0.22413477169376267,0.9457600178445339,-1.1444079233774147,-0.37192149470030084
35,25000,100,0.32892654122481535,10,-5,0.1,1,-1,10.730441004911302,-5.288461886765927,0.23652723792305308,1.0511211523778141,-1.099621463084043,0.369547351855201
36,500,100,0.21854706386935854,10,-5,0.1,1,-1,11.05845118475381,-5.9413300876952775,0.07248783492167948,1.1617555260532395,-1.3422955390082643,-0.06942201073440417
37,5000,100,0.24928436784713418,10,-5,0.1,1,-1,11.041535596542458,-5.783052568635489,0.3099203578864732,1.136927127454765,-1.0609161970115424,-0.3137648944472835
38,15000,100,0.6114472002316345,10,-5,0.1,1,-1,9.890890299810419,-4.83500453926937,0.13430606994037486,0.9712080381831449,-1.0048507918611849,0.9350649917282451
39,25000,100,0.4975293396983554,10,-5,0.1,1,-1,9.857815079978561,-5.302758504409502,0.22165083756578002,0.9537369114816524,-1.008775932840617,0.4662775446433023
40,500,100,1.3619705437809957,10,-5,0.1,1,-1,12.202319418350179,-4.934938906633761,0.10355708606464599,1.1506637990890238,-1.0749414874497758,0.4710448651106767
41,5000,100,0.21151789590354753,10,-5,0.1,1,-1,10.910813697442247,-5.536955484208838,0.5702087621791636,1.0342261744829113,-1.335004112107511,-0.14167168442834593
42,15000,100,0.28580519364871265,10,-5,0.1,1,-1,10.927049765011514,-5.343443109900736,0.2538513745394033,1.0803751130518209,-1.190589143340008,-0.34899663133510833
43,25000,100,0.2825110123301268,10,-5,0.1,1,-1,10.231729702685282,-5.061897335331531,0.18180486646644717,0.9815876464032925,-1.2063049615329215,-0.4840696558043167
44,500,100,4.229267665205219,10,-5,0.1,1,-1,10.595021128989023,-3.5371536681730698,0.06882033672119033,1.1758846445080136,-1.153689378901543,-0.7413877344180964
45,5000,100,0.25444780946114615,10,-5,0.1,1,-1,11.629814593946882,-5.692437767642915,0.3324522868586088,1.1079548146861855,-1.1177637474525788,0.256100124429399
46,15000,100,0.22997142122808018,10,-5,0.1,1,-1,10.43650596709152,-5.255856208446586,0.20555777056869123,0.971287321670968,-1.0442636438674109,0.3915213632873215
47,25000,100,0.24836180960884077,10,-5,0.1,1,-1,9.8235408174565,-4.9204588318942575,0.17077049407981437,0.9420792210760255,-1.1156021860434702,0.48886476141253676
48,500,100,0.5887675824110793,10,-5,0.1,1,-1,10.269125483277248,-5.7574387583488535,0.05831586429112639,0.7903042747098419,-1.1691441910320999,1.4987663973170249
